file,score
0000036455.STEP,0.6517433524131775
0000038455.STEP,0.5964070558547974
DOWEL PIN_662-20432.STEP.STEP,0.501322329044342
0000026054.STEP,0.4500323235988617
0000025838.STEP,0.43129315972328186
TOOL CLIP.STEP.STEP,0.42447125911712646
Colson-2.04256.445 COND BRK5MTG59_52023_02.STEP.STEP,0.37840256094932556
HAMMER DRIVE SCREW No2 x .190.STEP.STEP,0.37465184926986694
HANDLE.STEP.STEP,0.3316493630409241
0000022553.STEP,0.23905768990516663
0000036057.STEP,0.21872200071811676
9503-0121-12_D2-535-300-190___1.STEP,0.20633462071418762
CHAMFER5_1.STEP,0.17579829692840576
Base.STEP,0.16522283852100372
0000036061.STEP,0.1638609766960144
Colson-2.04256.445 COND BRK5MTG59_52023_12.STEP.STEP,0.14161857962608337
Colson-2.04256.445 COND MTG59_52020_00.STEP.STEP,0.13731195032596588
0000036058.STEP,0.11354907602071762
9503-0121-22_D2-535-300-190___1.STEP,0.10086272656917572
9860-0185-02_1.STEP,0.08751601725816727
Support Bar.STEP,0.07568944245576859
Outlet plate.STEP,0.06599707156419754
Colson-2.04256.445 COND BRK5MTG59_52022_14(riveted).STEP.STEP,0.06514592468738556
F-SHCS-M12-15.STEP,0.0616769939661026
Colson-2.04256.445 COND MTG59_series 2 fork(4).STEP.STEP,0.052019670605659485
0000036060.STEP,0.04246451333165169
0000026103.STEP,0.03735018149018288
Colson-2.04256.445 COND MTG59_52022_14(riveted).STEP.STEP,0.03233097866177559
0000032414.STEP,0.02855314500629902
0000026093.STEP,0.028215758502483368
0000026158.STEP,0.024165958166122437
Colson-2.04256.445 COND BRK5MTG59_52023_00.STEP.STEP,0.02077418565750122
Colson-2.04256.445 COND BRK5MTG59_52020_00.STEP.STEP,0.014140051789581776
E.STEP,0.013577467761933804
0000026105.STEP,0.011447716504335403
D.STEP,0.009299876168370247
Colson-2.04256.445 COND BRK5MTG59_10106_[1].250_1.664_20.STEP.STEP,0.008064810186624527
Colson-2.04256.445 COND BRK5MTG59_wheel(Performa Rubber Conductive FlatBall4).STEP.STEP,0.00753095792606473
Colson-2.04256.445 COND BRK5MTG59_10106_[1].250_1.855_23.STEP.STEP,0.005587863270193338
Colson-2.04256.445 COND MTG59_52023_00.STEP.STEP,0.004481463227421045
0000054987.STEP,0.0034622845705598593
PLAIN WASHER M10_Washer ISO 7089 - 10.STEP.STEP,0.0022546087857335806
Colson-2.04256.445 COND MTG59_wheel(Performa Rubber Conductive FlatBall4).STEP.STEP,0.001997676445171237
Colson-2.04256.445 COND MTG59_10106_[1].250_1.855_23.STEP.STEP,0.0015692180022597313
0000032565.STEP,0.00134458823595196
0000032572.STEP,0.0010161404497921467
0000038454.STEP,0.0009734315681271255
LENS.STEP,0.0008728526881895959
