file,score
0000024734.STEP,0.6718881130218506
0000024695.STEP,0.6640716791152954
0000024725.STEP,0.6632493734359741
0000024726.STEP,0.6626367568969727
Support Bar nut.STEP,0.6625291705131531
Flywheel end shaft.STEP,0.6618711352348328
0000024736.STEP,0.6591179966926575
0000024778.STEP,0.6560450196266174
0000024774.STEP,0.6526476144790649
0000024729.STEP,0.6509568691253662
0000024775.STEP,0.6497629880905151
0000036058.STEP,0.6464061737060547
0000024737.STEP,0.6460962891578674
0000024727.STEP,0.6357266902923584
0000036060.STEP,0.5512076616287231
0000036061.STEP,0.5285863876342773
0000032565.STEP,0.3024424910545349
0000024698.STEP,0.2971678674221039
0000038454.STEP,0.1886754035949707
0000032571.STEP,0.081532247364521
CENTRAL BAR.STEP.STEP,0.0792378187179565
0000022849.STEP,0.0647179633378982
Colson-2.04256.445 COND BRK5MTG59_52023_00.STEP.STEP,0.0482093580067157
B.STEP,0.0310054551810026
F-SHCS-M12-15.STEP,0.014779407531023
Pressure pipe.STEP,0.012377930805087
9860-0185-02_1.STEP,0.0059248618781566
9503-0121-12_D2-535-300-190___1.STEP,0.0021967084612697
Colson-2.04256.445 COND MTG59_52022_14(riveted).STEP.STEP,0.0011122029973194
0000022553.STEP,0.0005797252524644
9503-0121-22_D2-535-300-190___1.STEP,0.0005272773560136
CHAMFER5_1.STEP,0.0004224893345963
Support Bar.STEP,0.0002198606962338
Colson-2.04256.445 COND BRK5MTG59_52022_14(riveted).STEP.STEP,0.000204920725082
HANDLE.STEP.STEP,3.454275065450929e-05
Colson-2.04256.445 COND MTG59_52020_00.STEP.STEP,1.3946788385510445e-05
Colson-2.04256.445 COND BRK5MTG59_52023_02.STEP.STEP,9.089840204978827e-06
Colson-2.04256.445 COND BRK5MTG59_52023_12.STEP.STEP,6.345803740259726e-06
0000032414.STEP,3.041080162802245e-06
Colson-2.04256.445 COND BRK5MTG59_52020_00.STEP.STEP,7.674684070479998e-07
A.STEP,6.808757007092936e-07
0000032569.STEP,3.379496149591432e-07
Colson-2.04256.445 COND MTG59_10106_[1].250_1.664_20.STEP.STEP,2.7965486992798105e-07
0000026093.STEP,1.05613814582739e-07
HAMMER DRIVE SCREW No2 x .190.STEP.STEP,6.01211809225788e-08
Outlet plate.STEP,5.0024691944372535e-08
DOWEL PIN_662-20432.STEP.STEP,4.1838511322112026e-08
0000036057.STEP,3.754588817628246e-08
0000026105.STEP,2.3610709831700664e-08
D.STEP,5.7152633736734515e-09
E.STEP,5.282448700683062e-09
Colson-2.04256.445 COND BRK5MTG59_wheel(Performa Rubber Conductive FlatBall4).STEP.STEP,4.7997170682378965e-09
0000026158.STEP,3.8377199196304446e-09
0000026103.STEP,2.7453219697548543e-09
0000054839.STEP,1.3890871786159662e-09
PLAIN WASHER M10_Washer ISO 7089 - 10.STEP.STEP,1.1896594820370863e-09
Colson-2.04256.445 COND BRK5MTG59_10106_[1].250_1.664_20.STEP.STEP,1.1006959788062431e-09
0000054985.STEP,4.866992919794201e-10
Colson-2.04256.445 COND BRK5MTG59_10106_[1].250_1.855_23.STEP.STEP,4.358702010431869e-10
0000038052.STEP,1.8570525672778612e-10
Colson-2.04256.445 COND MTG59_10106_[1].250_1.855_23.STEP.STEP,1.5611009707150458e-10
Colson-2.04256.445 COND MTG59_wheel(Performa Rubber Conductive FlatBall4).STEP.STEP,1.390406539902855e-10
LENS.STEP,3.7199823083033934e-11
PLAIN WASHER M10_Washer ISO 7089 - 8.STEP.STEP,3.06829631147032e-11
0000054987.STEP,9.10908241197328e-12
MODIFIED LENS.STEP.STEP.STEP.STEP.STEP,6.563429053724201e-12
0000032570.STEP,9.767759484005568e-15
STB_DOOR_GASKET_STB208012_1.STEP,1.2494957817027344e-15
